#Energy           TDOS-UP         TDOS-DOWN
-11.241708        1.379000        1.379000
-11.210708        1.349000        1.349000
-11.179708        1.341000        1.341000
-11.148708        1.325000        1.325000
-11.117708        1.316000        1.316000
-11.086708        1.331000        1.331000
-11.055708        1.319000        1.319000
-11.024708        1.308000        1.308000
-10.993708        1.299000        1.299000
-10.962708        1.297000        1.297000
-10.931708        1.275000        1.275000
-10.900708        1.267000        1.267000
-10.869708        1.249000        1.249000
-10.838708        1.260000        1.260000
-10.807708        1.259000        1.259000
-10.776708        1.245000        1.245000
-10.745708        1.237000        1.237000
-10.714708        1.233000        1.233000
-10.683708        1.227000        1.227000
-10.653708        1.208000        1.208000
-10.622708        1.191000        1.191000
-10.591708        1.183000        1.183000
-10.560708        1.191000        1.191000
-10.529708        1.663000        1.663000
-10.498708        1.584000        1.584000
-10.467708        1.643000        1.643000
-10.436708        1.731000        1.731000
-10.405708        1.627000        1.627000
-10.374708        1.326000        1.326000
-10.343708        1.849000        1.849000
-10.312708        1.492000        1.492000
-10.281708        1.858000        1.858000
-10.250708        1.709000        1.709000
-10.219708        1.596000        1.596000
-10.188708        1.589000        1.589000
-10.157708        1.642000        1.642000
-10.126708        1.613000        1.613000
-10.095708        1.653000        1.653000
-10.064708        1.614000        1.614000
-10.033708        1.638000        1.638000
-10.002708        1.625000        1.625000
-9.971708        1.615000        1.615000
-9.940708        1.642000        1.642000
-9.909708        1.605000        1.605000
-9.878708        1.656000        1.656000
-9.847708        1.686000        1.686000
-9.816708        1.651000        1.651000
-9.785708        1.637000        1.637000
-9.754708        1.645000        1.645000
-9.723708        1.644000        1.644000
-9.692708        1.791000        1.791000
-9.661708        1.703000        1.703000
-9.630708        1.528000        1.528000
-9.599708        1.501000        1.501000
-9.568708        1.690000        1.690000
-9.537708        1.675000        1.675000
-9.506708        1.593000        1.593000
-9.475708        1.631000        1.631000
-9.444708        1.745000        1.745000
-9.413708        1.839000        1.839000
-9.382708        1.711000        1.711000
-9.351708        1.712000        1.712000
-9.320708        1.714000        1.714000
-9.289708        1.715000        1.715000
-9.258708        1.713000        1.713000
-9.227708        1.717000        1.717000
-9.196708        1.724000        1.724000
-9.165708        1.721000        1.721000
-9.134708        1.739000        1.739000
-9.103708        1.753000        1.753000
-9.072708        1.743000        1.743000
-9.041708        1.730000        1.730000
-9.010708        1.745000        1.745000
-8.979708        1.759000        1.759000
-8.948708        1.755000        1.755000
-8.917708        1.735000        1.735000
-8.886708        1.769000        1.769000
-8.855708        1.778000        1.778000
-8.824708        1.799000        1.799000
-8.793708        1.805000        1.805000
-8.762708        1.812000        1.812000
-8.731708        1.774000        1.774000
-8.700708        1.776000        1.776000
-8.669708        1.818000        1.818000
-8.638708        1.813000        1.813000
-8.607708        1.798000        1.798000
-8.576708        1.809000        1.809000
-8.545708        1.820000        1.820000
-8.514708        1.853000        1.853000
-8.483708        1.849000        1.849000
-8.452708        1.851000        1.851000
-8.421708        1.854000        1.854000
-8.390708        1.859000        1.859000
-8.359708        1.879000        1.879000
-8.328708        1.963000        1.963000
-8.297708        1.969000        1.969000
-8.266708        1.661000        1.661000
-8.235708        1.912000        1.913000
-8.204708        1.960000        1.960000
-8.173708        2.057000        2.057000
-8.142708        1.792000        1.792000
-8.111708        1.988000        1.988000
-8.080708        2.131000        2.131000
-8.049708        1.985000        1.985000
-8.018708        1.900000        1.900000
-7.987708        1.689000        1.689000
-7.956708        1.886000        1.886000
-7.925708        1.937000        1.937000
-7.894708        1.956000        1.956000
-7.863708        2.001000        2.001000
-7.832708        2.023000        2.023000
-7.801708        2.166000        2.166000
-7.770708        2.632000        2.632000
-7.739708        1.938000        1.938000
-7.708708        2.060000        2.060000
-7.677708        2.015000        2.015000
-7.646708        2.008000        2.008000
