      #Energy        TDOS-UP        TDOS-DOWN
       6.54114      13.79000     -10.17000
       6.59514      17.51000     -13.11000
       6.64914      20.06000     -17.13000
       6.70314      20.55000     -19.20000
       6.75714      21.67000     -20.00000
       6.81014      25.07000     -21.28000
       6.86414      27.15000     -22.44000
       6.91814      25.44000     -22.83000
       6.97214      23.80000     -23.38000
       7.02614      25.00000     -25.34000
       7.07914      26.89000     -27.95000
       7.13314      27.79000     -29.20000
       7.18714      27.72000     -28.99000
       7.24114      26.80000     -28.06000
       7.29514      25.10000     -27.02000
       7.34814      22.71000     -26.47000
       7.40214      20.99000     -25.20000
       7.45614      20.82000     -22.87000
       7.51014      21.94000     -21.25000
       7.56414      25.67000     -22.18000
       7.61714      31.58000     -26.45000
       7.67114      35.78000     -32.66000
       7.72514      37.17000     -37.66000
       7.77914      36.53000     -39.52000
       7.83314      32.62000     -38.47000
       7.88614      25.87000     -34.20000
       7.94014      19.33000     -26.99000
       7.99414      15.86000     -19.84000
       8.04814      17.63000     -16.87000
       8.10214      23.69000     -20.44000
       8.15514      28.73000     -27.23000
       8.20914      29.30000     -31.11000
       8.26314      28.06000     -30.95000
       8.31714      28.22000     -31.32000
       8.37114      29.55000     -34.09000
       8.42414      30.40000     -36.73000
       8.47814      30.56000     -37.40000
       8.53214      30.60000     -34.90000
       8.58614      29.45000     -30.35000
       8.64014      26.33000     -27.01000
       8.69314      23.53000     -25.19000
       8.74714      23.69000     -23.50000
       8.80114      24.66000     -22.91000
       8.85514      21.98000     -23.32000
       8.90914      17.01000     -22.00000
       8.96214      14.56000     -18.43000
       9.01614      15.11000     -14.34000
       9.07014      16.40000     -10.21000
       9.12414      16.10000      -6.00500
       9.17814      12.86000      -2.66300
       9.23114       8.17400      -0.83410
       9.28514       4.13200      -0.17400
       9.33914       1.55100      -0.02293
       9.39314       0.38950      -0.00183
       9.44714       0.06049      -0.00009
       9.50014       0.00557      -0.00000
       9.55414       0.00030      -0.00000
       9.60814       0.00001      -0.00000
       9.66214       0.00000      -0.00000
       9.71614       0.00000      -0.00000
       9.76914       0.00000       0.00000
       9.82314       0.00000       0.00000
       9.87714       0.00000       0.00000
       9.93114       0.00000       0.00000
       9.98514       0.00000       0.00000
      10.03814       0.00000       0.00000
      10.09214       0.00000       0.00000
      10.14614       0.00000       0.00000
      10.20014       0.00000       0.00000
      10.25414       0.00000       0.00000
      10.30714       0.00000       0.00000
      10.36114       0.00000       0.00000
      10.41514       0.00000       0.00000
      10.46914       0.00000       0.00000
      10.52314       0.00000       0.00000
      10.57614       0.00000       0.00000
      10.63014       0.00000       0.00000
      10.68414       0.00000       0.00000
